Nom_Fichier;Beneficiaire;RIB;Objet_du_virement;Montant;Type_de_Virement;Nbr_de_vir;Total_en_lettres;Total_Montant;Date
ODV.pdf;SOUGUIESHOP;0014400837969955;Recharge carte technologique;100.000;Ordinaire;1;1 Cent dinars;100.000;03/01/2025
ODV10.pdf;SOUGUIESHOP;0014400837969955;Recharge carte technologique;200;Ordinaire;1;Deux cent Dinars;200;25/06/2025
ODV11.pdf;SOUGUIESHOP;0014400837969955;Recharge carte technologique;200;Ordinaire;1;Deux cent Dinars;200;22/09/2025
ODV2.pdf;SOUGUIESHOP;0014400837969955;Recharge carte technologique;300.000;Ordinaire;1;trois cent dinars;300.000;22/01/2025
ODV3.pdf;SOUGUIESHOP;0014400837969955;Recharge carte technologique;70.000;Ordinaire;1;;70.000;07/02/2025
ODV4.pdf;SOUGUIESHOP;0014400837969955;Recharge carte technologique;250;Ordinaire;1;;250;10/02/2025
ODV5.pdf;SOUGUIESHOP;0014400837969955;Recharge carte technologique;200;Ordinaire;1;Deux cent Dinars;200;26/02/2025
ODV6.pdf;SOUGUIESHOP;0014400837969955;Recharge carte technologique;300;Ordinaire;1;Trois cent Dinars;300;04/03/2025
ODV7.pdf;SOUGUIESHOP;0014400837969955;Recharge carte technologique;300;Ordinaire;1;Trois cent Dinars;300;26/03/2025
ODV8.pdf;SOUGUIESHOP;0014400837969955;Recharge carte technologique;200;Ordinaire;1;Deux cent Dinars;200;13/05/2025
ODV9.pdf;SOUGUIESHOP;0014400837969955;Recharge carte technologique;300;Ordinaire;1;Trois cent Dinars;300;03/06/2025
